Respondent ID,Start Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Age,Gender,Household Income,Region,Device Type
11169226502,2019-11-23 21:10:48,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,,,,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,Sen. Bernie Sanders,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,Sen. Bernie Sanders,,,,,,,,,,,30-44,Male,$100000-$124999,East North Central,Android Phone / Tablet
11169225182,2019-11-23 21:09:53,I don't know or I'd rather not say,Neither liberal nor conservative,No,White or Caucasian,I'm not sure at this time,,,,,,,,Sen. Bernie Sanders,,Rep. John Delaney,,,Andrew Yang,,,,,,,,,,,,,,,,,,Andrew Yang,,,,,,,,,,,,,,,Rep. John Delaney,,,,,,,,,,,,,,,,,,,,,Andrew Yang,,,,,,,,,,,,,,,Rep. John Delaney,,,,,,,,,18-29,Male,$10000-$24999,West North Central,Android Phone / Tablet
11169223989,2019-11-23 21:07:00,Yes I will likely vote in my state's Democratic primary or caucus,Moderately conservative,Unsure / Don’t know,Black or African American,I'm not sure at this time,Fmr. V.P. Joe Biden,Sen. Cory Booker,,,Rep. Tulsi Gabbard,Sen. Kamala Harris,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,,South Bend Mayor Pete Buttigieg,Marianne Williamson,Andrew Yang,Sen. Michael Bennet,Tom Steyer,Fmr. NYC Mayor Michael Bloomberg,Fmr. Gov. Deval Patrick,,,,,,,,,,,,,,Andrew Yang,,,,,,Fmr. V.P. Joe Biden,,,,,Sen. Kamala Harris,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,,,,,South Bend Mayor Pete Buttigieg,,,,,,,,,,,,,Andrew Yang,,,,,,Fmr. V.P. Joe Biden,Sen. Cory Booker,,,Rep. Tulsi Gabbard,Sen. Kamala Harris,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,,South Bend Mayor Pete Buttigieg,Marianne Williamson,,Sen. Michael Bennet,Tom Steyer,Fmr. NYC Mayor Michael Bloomberg,Fmr. Gov. Deval Patrick,,18-29,Male,$10000-$24999,East North Central,Android Phone / Tablet
11169219612,2019-11-23 20:59:56,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,South Bend Mayor Pete Buttigieg,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,,,,,,,,,,,South Bend Mayor Pete Buttigieg,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,,Rep. John Delaney,,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,,,,,,South Bend Mayor Pete Buttigieg,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,,,,,,Fmr. NYC Mayor Michael Bloomberg,,,45-60,Male,$50000-$74999,East North Central,Android Phone / Tablet
11169218147,2019-11-23 21:00:47,Yes I will likely vote in my state's Republican primary or caucus,Slightly liberal,Unsure / Don’t know,American Indian or Alaska Native,Probably the Republican nominee,,,,,,,,,,,,Marianne Williamson,Andrew Yang,,,,,,,,,,,,,,,,,Marianne Williamson,,,,,,,,,,,,,,,,,,Marianne Williamson,Andrew Yang,,,,,,,,,,,,,,,,,,Andrew Yang,,,,,,,,,,,,,,,,,Marianne Williamson,Andrew Yang,,,,,,18-29,Male,$0-$9999,,iOS Phone / Tablet
11169211484,2019-11-23 20:50:39,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,,Marianne Williamson,Andrew Yang,Sen. Michael Bennet,Tom Steyer,,,,,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,Andrew Yang,,,,,,,,,,,,,,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,,Marianne Williamson,Andrew Yang,Sen. Michael Bennet,Tom Steyer,,,,,,,,,,,,,,,,,,,,,,18-29,Male,$100000-$124999,,iOS Phone / Tablet
11169207045,2019-11-23 20:45:58,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,Black or African American,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,Male,$0-$9999,East South Central,Android Phone / Tablet
11169203444,2019-11-23 20:42:22,I don't know or I'd rather not say,I don't know or I'd rather not say,Unsure / Don’t know,Hispanic or Latino,Probably the Democratic nominee,,,,,,,Sen. Amy Klobuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sen. Amy Klobuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sen. Amy Klobuchar,,,,,,,,,,,,18-29,Male,$75000-$99999,Pacific,Android Phone / Tablet
11169203262,2019-11-23 20:38:32,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,Black or African American,Probably the Republican nominee,Fmr. V.P. Joe Biden,,,,,,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,Andrew Yang,,,,,,,,,,,,,Sen. Bernie Sanders,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,,,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,Andrew Yang,,,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,,,Fmr. V.P. Joe Biden,,,,,,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,Andrew Yang,,,,,,30-44,Male,$50000-$74999,Pacific,Android Phone / Tablet
11169196735,2019-11-23 20:29:09,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Slightly conservative,No,Black or African American,Neither / I don't intend to vote.,Fmr. V.P. Joe Biden,Sen. Cory Booker,,,Rep. Tulsi Gabbard,Sen. Kamala Harris,,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,South Bend Mayor Pete Buttigieg,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,Fmr. Gov. Deval Patrick,,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,Sen. Cory Booker,,,Rep. Tulsi Gabbard,Sen. Kamala Harris,,,,Rep. John Delaney,,,,,,,Fmr. Gov. Deval Patrick,,Fmr. V.P. Joe Biden,,,,,,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,South Bend Mayor Pete Buttigieg,,,,,Fmr. NYC Mayor Michael Bloomberg,,,,Sen. Cory Booker,,,Rep. Tulsi Gabbard,Sen. Kamala Harris,,,,Rep. John Delaney,,,,,,,Fmr. Gov. Deval Patrick,,45-60,Male,$75000-$99999,South Atlantic,Android Phone / Tablet
11169194350,2019-11-23 20:27:53,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,,Sen. Kamala Harris,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,,,,,,Sen. Kamala Harris,,Sen. Bernie Sanders,Sen. Elizabeth Warren,,,,,,,,,,,,,,,,,,,Rep. John Delaney,,,Andrew Yang,,,Fmr. NYC Mayor Michael Bloomberg,,,Fmr. V.P. Joe Biden,,,,,,,,Sen. Elizabeth Warren,,,,,,,,,,,,,,,,,Sen. Bernie Sanders,,,,,,,,,,,18-29,Male,$10000-$24999,East North Central,Android Phone / Tablet
11169192982,2019-11-23 20:25:57,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Sen. Cory Booker,Gov. Steve Bullock,Fmr. HUD Secretary Julian Castro,Rep. Tulsi Gabbard,Sen. Kamala Harris,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,South Bend Mayor Pete Buttigieg,Marianne Williamson,Andrew Yang,Sen. Michael Bennet,Tom Steyer,Fmr. NYC Mayor Michael Bloomberg,,,Fmr. V.P. Joe Biden,Sen. Cory Booker,,,,,,,Sen. Elizabeth Warren,,,,Andrew Yang,,,,,South Bend Mayor Pete Buttigieg,,,Gov. Steve Bullock,Fmr. HUD Secretary Julian Castro,Rep. Tulsi Gabbard,,,Sen. Bernie Sanders,,,,,,,Tom Steyer,,,,Fmr. V.P. Joe Biden,,,,,,,,,,,,Andrew Yang,,,,,,,Sen. Cory Booker,Gov. Steve Bullock,Fmr. HUD Secretary Julian Castro,Rep. Tulsi Gabbard,Sen. Kamala Harris,Sen. Amy Klobuchar,Sen. Bernie Sanders,Sen. Elizabeth Warren,Rep. John Delaney,South Bend Mayor Pete Buttigieg,Marianne Williamson,,Sen. Michael Bennet,Tom Steyer,Fmr. NYC Mayor Michael Bloomberg,,,18-29,Male,$200000+,Pacific,iOS Phone / Tablet
